,0,1,2,3,Cluster
위엄,-1.2145342,1.7440188,-1.2936136,-1.1395639,2
공감,2.2502997,2.001519,-2.5161648,0.36557007,2
욕,-1.6977227,3.0516849,-2.4395106,-1.1742756,2
자녀,0.95981735,2.4984846,-0.39430347,-5.174206,2
평화,1.30476,0.12264059,-1.868872,-6.6761904,2
가족,-0.3754328,1.9378809,-0.88442534,-5.685061,2
양심,3.1177967,1.1354321,-1.2870852,-4.298797,2
욕설,0.74482405,1.4753228,-0.5765913,-0.6333649,2
자신감,0.7813495,3.0023918,-2.9577773,-1.7965026,2
불화,-0.17306009,0.863932,-1.3374835,-1.2355037,2
경멸,1.5405242,2.233097,-0.19573958,-0.34918183,2
고독,-2.0009947,2.293322,-1.372232,-0.382944,2
재미,-1.2590721,0.3700253,-2.4902923,-2.125547,2
인사,3.5085232,-2.9525971,0.72718406,-8.948047,3
계획,5.117611,-4.0164924,0.11387614,-5.2119174,3
고용,4.416642,-5.30734,1.3488902,-1.3259467,3
감사,3.5723913,-2.2742448,1.147396,-3.970234,3
적극,5.226396,-3.6769836,1.9446877,-5.10929,3
합의,8.215814,-4.6263976,0.72850776,-3.6867685,3
회의,2.6903303,-7.5419292,-0.15179636,-8.859969,3
동의,6.2962084,-2.436435,0.477352,-2.6583245,3
강제,5.3541064,-3.7029681,3.7779856,-4.639949,3
대출,3.383967,-5.5169277,0.16769847,-2.2007754,3
경비,2.0484743,-5.9606605,1.1609836,-4.537999,3
소송,7.7289376,-3.1023257,1.1179503,-4.550876,3
경찰,2.0556958,-4.651539,3.4949849,-5.911377,3
장관,-0.5525632,-4.085766,3.5991051,-6.608901,3
관리,6.418699,-8.607909,-1.0766044,-3.186352,3
위탁,3.6632512,-5.0936685,2.321535,-4.9495797,3
기부,2.607452,-4.207273,2.0317879,-0.8758412,3
거지,-3.4605951,0.54719657,1.4168316,-1.7453014,4
축하,-2.3998322,1.4260347,3.7741559,-2.7370381,4
소식,-0.6437879,6.458818,3.757683,-6.4295664,4
술,-5.1633663,3.2763584,1.4693288,-1.4847236,4
위로,-1.9709271,2.1152608,2.705905,0.91905713,4
대머리,-2.9684389,0.37571663,2.8901196,-1.8454882,4
할아버지,-4.7205324,3.612821,3.290849,-2.2098439,4
생일,-4.7004642,2.4503872,2.2265155,-2.8243868,4
이별,-2.9437864,3.1936953,1.0344027,-0.41344428,4
부자,-1.788268,2.104594,2.3363369,-3.1780438,4
집,-5.6496987,3.4625645,1.8353232,-1.7714094,4
노여움,-0.54174083,2.059087,1.9972153,-1.01608,4
공주,-6.1600046,2.8144362,4.832506,-3.32203,4
붙잡,-2.0666952,2.2932065,4.875374,1.179236,4
손님,-3.4981523,2.5380337,0.019839296,-2.5478613,4
감옥,-1.818666,1.1896876,5.3079166,-2.004214,4
안녕,-2.7328835,0.7403919,0.7041881,-2.2458956,4
잠,-3.9471378,1.4637082,2.7188566,1.2147255,4
친구,-6.0584555,7.4971848,1.7641838,-1.3744465,4
혼자,-2.710544,3.5659251,1.9256337,-0.099597044,4
천국,-3.2482746,1.5443239,0.5094256,-1.5913738,4
돈,-3.182571,4.0365443,3.433815,-1.5083855,4
왕자,-5.6099806,4.9307075,4.8656693,-2.0428913,4
행방,-1.3408887,1.752098,1.851963,-1.2744282,4
막내,-4.5696893,0.8335065,3.221471,-2.2889614,4
편지,-1.9994313,5.8152604,2.9295309,-5.7820044,4
진심,-1.3926686,3.9454088,1.07134,-1.3569167,4
초대,-3.1528518,-2.121656,6.2561235,-4.68248,4
무당,-3.2524846,1.8891513,-0.21856248,-1.3817105,4
괴물,-5.430105,4.9929595,-0.8284971,0.8651047,5
바보,-3.0655346,2.127513,-0.61239076,-0.47085026,5
향기,-5.435786,2.343688,-4.427172,1.4283924,5
기운,-1.9935604,2.8987105,-2.6418622,0.329797,5
빵,-6.9480953,1.0961014,-2.2528121,0.93598306,5
맛,-6.1958356,3.518446,-6.0688715,3.7714756,5
달콤,-3.7050433,1.4635355,-0.06972407,2.3113022,5
미모,-2.8545763,2.4041173,-1.0776231,-0.9915444,5
물,-4.23258,0.41307458,-4.1581326,3.7125666,5
생김새,-4.1209683,0.661979,-2.3653636,1.2383877,5
고기,-5.972558,0.45884913,-2.0920293,2.4503157,5
머리,-6.222227,4.0311913,0.0644954,2.9487498,5
눈물,-4.537952,6.221898,0.17356798,0.3890371,5
아기,-5.586187,4.4022174,0.32582307,0.84357303,5
